"url","date","title","director","writer","stars","running_time","genre","rating","blurb"
"https://www.nytimes.com/2018/11/15/movies/mobile-homes-review.html","2018/11/15","Mobile Homes","Vladimir de Fontenay","Vladimir de Fontenay","Imogen Poots, Callum Turner, Callum Keith Rennie, Roger Barnes, James Boles","Drama","NA","1h 45m",NA
"https://www.nytimes.com/2018/11/15/movies/under-the-wire-review-marie-colvin.html","2018/11/15","Under The Wire","Chris Martin","Ziad Abaza, Janine Birkett, Julian Lewis Jones, Karine Myriam Lapouble, Nathan Dean Williams","R","Documentary","NA","1h 35m","Rated R for broken bodies and exploding bombs."
"https://www.nytimes.com/2018/11/15/movies/instant-family-review.html","2018/11/15","Instant Family","Sean Anders","Sean Anders, John Morris","Mark Wahlberg, Rose Byrne, Isabela Moner, Gustavo Quiroz, Julianna Gamiz","1h 59m","Comedy, Drama","PG-13","Rated PG-13."
"https://www.nytimes.com/2018/11/20/movies/roma-review.html","2018/11/20","Roma","Alfonso Cuarón","Alfonso Cuarón","Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf","2h 15m","Drama","R","Rated R. In Spanish, with English subtitles."
"https://www.nytimes.com/2018/11/20/movies/the-world-before-your-feet-review.html","2018/11/20","The World Before Your Feet","Jeremy Workman","Matt Green","1h 35m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/20/movies/las-sandinistas-review.html","2018/11/20","Las Sandinistas!","Jenny Murray","1h 40m","Documentary, History, War",NA,"NA",NA,NA
"https://www.nytimes.com/2018/11/21/movies/the-favourite-review.html","2018/11/21","The Favourite","Yorgos Lanthimos","Deborah Davis, Tony McNamara","Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Emma Delves","1h 59m","Biography, Drama","R","Rated R. Naughty lords and ladies."
"https://www.nytimes.com/2018/11/22/movies/invisible-hands-review.html","2018/11/22","Invisible Hands","Shraysi Tandon","Shraysi Tandon","Kailash Satyarthi, Ben Skinner, Mark Barenberg, Siddharth Kara, Nicholas Kristof","Documentary","NA","1h 20m",NA
"https://www.nytimes.com/2018/11/22/movies/write-when-you-get-work-review.html","2018/11/22","Write When You Get Work","Stacy Cochran","Stacy Cochran","Isabella Blassingame, Jeffrey Butler, Ava Capri, Scott Cohen, Maddie Corman","Comedy, Drama, Romance","NA","1h 39m",NA
"https://www.nytimes.com/2018/11/22/movies/shoplifters-review.html","2018/11/22","Shoplifters","Hirokazu Koreeda","Hirokazu Koreeda","Kirin Kiki, Lily Franky, Moemi Katayama, Sôsuke Ikematsu, Sakura Andô","2h 1m","Crime, Drama","R","Rated R for sex-club work. In Japanese, with English subtitles."
